ID,Title,"Tax Status"
10089,"2.6ctw Lab Grown Diamond Martini Studs",taxable
10090,"2.6ctw Lab Grown Diamond Martini Studs",taxable
10091,"Turquoise Bubble Studs",taxable
10092,"Turquoise Bubble Studs",taxable
10093,"Turquoise Bubble Studs",taxable
10094,"Claw Diamond Studs",taxable
10095,"Claw Diamond Studs",taxable
10096,"Claw Diamond Studs",taxable
10097,"Chalcedony Dagger Studs",taxable
10098,"Chalcedony Dagger Studs",taxable
10099,"Chalcedony Dagger Studs",taxable
10102,"Diamond in the Rough Studs",taxable
10103,"Diamond in the Rough Studs",taxable
10104,"Door Knockers with Malachite",taxable
10105,"Door Knockers with Malachite",taxable
10106,"Door Knockers with Malachite",taxable
10107,"Door Knockers with Sunstone",taxable
10108,"Door Knockers with Sunstone",taxable
10109,"Door Knockers with Sunstone",taxable
10110,"Moss Agate Hex Studs",taxable
10111,"Moss Agate Hex Studs",taxable
10112,"Moss Agate Hex Studs",taxable
10113,"Rutilated Quartz Hex Studs",taxable
10114,"Rutilated Quartz Hex Studs",taxable
10115,"Rutilated Quartz Hex Studs",taxable
10116,"Turquoise Hex Studs",taxable
10117,"Turquoise Hex Studs",taxable
10118,"Turquoise Hex Studs",taxable
10119,"Huggie Hoops Large",taxable
10120,"Huggie Hoops Large",taxable
10121,"Huggie Hoops Large",taxable
10122,"Huggie Hoops Medium",taxable
10123,"Huggie Hoops Medium",taxable
10124,"Huggie Hoops Medium",taxable
10126,"Huggie Hoops Small",taxable
10127,"Huggie Hoops Small",taxable
10128,"Huggie Hoops Small",taxable
10130,"Mabe Pearl Studs",taxable
10131,"Mabe Pearl Studs",taxable
10132,"Mabe Pearl Studs",taxable
